price,amount,timestamp
2104710,0.00000484,
2103820,0.01577073,
2103810,0.08851,
2103730,0.8,
2103720,0.008,
2101550,0.0964094,
2100320,0.00004761,
2100000,0.00010025,
2099640,0.04086312,
2099490,0.00141207,
2093920,0.03122892,
2093910,0.215,
2087420,0.000636,
2087220,0.00023955,
2085630,0.00099903,
2085000,0.00083246,
2084000,0.04483761,
2082350,0.00024113,
2081010,0.00024026,
2080500,0.00012016,
2080430,0.00024033,
2080000,0.02496393,
2076360,0.00082805,
2075000,0.00433734,
2073760,0.00001205,
2073450,0.00002411,
2073000,0.00004823,
2072470,0.00434263,
2072000,0.00033783,
2071790,0.00000965,
2071000,0.00004828,
2070930,0.00038978,
2070920,0.00139671,
2070910,0.00005794,
2070430,0.00024149,
2070000,0.06968108,
2069000,0.42506133,
2067200,0.00026338,
2067000,0.00005804,
2066500,0.00290487,
2066000,0.00096807,
2065400,0.00096833,
2065150,0.00009684,
2065000,0.03161256,
2064880,0.00048428,
2064320,0.00004117,
2064270,0.00005394,
2063820,0.02415413,
2062110,0.00727411,
2062100,0.00024247,
2105720,0.04027197,
2105730,0.08851,
2105780,0.01463778,
2106230,0.04,
2106300,0.00160085,
2106700,0.2230726,
2106710,0.01852572,
2107070,0.00445720,
2108270,0.00535087,
2109000,0.00369843,
2109040,0.00024848,
2110000,0.01015645,
2110220,0.0012084,
2110400,0.00502329,
2111000,0.04737091,
2111990,0.00001215,
2112500,0.00236735,
2112660,0.00047333,
2112960,0.009,
2113000,0.00014434,
2113830,0.00020817,
2114050,0.00002369,
2114620,0.00047745,
2114830,0.00002,
2114890,0.00058213,
2115000,0.01111463,
2115170,0.6059,
2115680,0.00004726,
2116630,0.00246317,
2117000,0.00005337,
2117240,0.0069,
2117500,0.00038031,
2117610,0.00009342,
2117750,0.00015918,
2117970,0.001,
2118000,0.02360717,
2118580,0.02715049,
2118920,0.00021,
2119000,0.00014770,
2119190,0.00026289,
2120000,0.05016451,
2120080,0.00447215,
2121000,0.00005327,
2121010,0.005,
2122000,1.68590031,
2122880,0.00001791,
2123000,0.00005322,
2123180,0.00002424,
2123280,0.00014736,
2124250,0.0001883,
